old,new
customrecord_settlement_penalty_detail,customrecord_sust_penalty_detail
custrecord_penalty_settlement,custrecord_sust_penalty_settlement
custrecord_penalty_detail_element,custrecord_sust_penalty_detail_element
custrecord_penalty_detail_actual,custrecord_sust_penalty_detail_actual
custrecord_penalty_detail_threshold,custrecord_sust_penalty_detail_threshold
custrecord_penalty_detail_excess,custrecord_sust_penalty_detail_excess
custrecord_penalty_detail_rate,custrecord_sust_penalty_detail_rate
custrecord_penalty_detail_amount,custrecord_sust_penalty_detail_amount
custrecord_settlement_vendor,custrecord_sust_settlement_vendor
custrecord_settlement_date,custrecord_sust_settlement_date
custrecord_settlement_status,custrecord_sust_settlement_status
custrecord_settlement_method,custrecord_sust_settlement_method
custrecord_settlement_schedule,custrecord_sust_settlement_schedule
custrecord_settlement_gross_lbs,custrecord_sust_settlement_gross_lbs
custrecord_settlement_net_lbs,custrecord_sust_settlement_net_lbs
custrecord_settlement_recovery_pct,custrecord_sust_settlement_recovery_pct
custrecord_settlement_tin_content,custrecord_sust_settlement_tin_content
custrecord_settlement_market_price,custrecord_sust_settlement_market_price
custrecord_settlement_market_source,custrecord_sust_settlement_market_source
custrecord_settlement_treatment,custrecord_sust_settlement_treatment
custrecord_settlement_penalties,custrecord_sust_settlement_penalties
custrecord_settlement_gross_value,custrecord_sust_settlement_gross_value
custrecord_settlement_net_value,custrecord_sust_settlement_net_value
custrecord_settlement_provisional,custrecord_sust_settlement_provisional
custrecord_settlement_balance_due,custrecord_sust_settlement_balance_due
custrecord_settlement_bill,custrecord_sust_settlement_bill
custrecord_settlement_prov_bill,custrecord_sust_settlement_prov_bill
custrecord_settlement_approved_by,custrecord_sust_settlement_approved_by
custrecord_settlement_approved_date,custrecord_sust_settlement_approved_date
custrecord_settlement_notes,custrecord_sust_settlement_notes
custrecord_settlement_item_receipt,custrecord_sust_settlement_item_receipt
custrecord_settlement_lot,custrecord_sust_settlement_lot
custrecord_settle_po,custrecord_sust_settle_po
custrecord_settle_source_line,custrecord_sust_settle_source_line
custrecord_settlement_processing,custrecord_sust_settlement_processing
custrecord_settlement_mode,custrecord_sust_settlement_mode
custrecord_settlement_price_fixed,custrecord_sust_settlement_price_fixed
